Session ID,Customer ID,Pages Visited,Timestamp Interaction
SESS_0001,CUST_0769,"['Category Page', 'Checkout Page', 'Cart Page']",2022-08-20 12:57:55
SESS_0002,CUST_0610,"['Order Confirmation Page', 'Checkout Page', 'Product Detail Page', 'Cart Page', 'Category Page']",2023-12-18 09:07:18
SESS_0003,CUST_0525,"['Product Detail Page', 'Category Page', 'Cart Page']",2023-04-28 07:47:27
SESS_0004,CUST_0102,"['Order Confirmation Page', 'Checkout Page', 'Cart Page']",2024-02-05 15:20:00
SESS_0005,CUST_0110,"['Checkout Page', 'Product Detail Page', 'Cart Page', 'Homepage']",2024-05-27 09:00:23
SESS_0006,CUST_0185,"['Category Page', 'Product Detail Page', 'Checkout Page', 'Order Confirmation Page', 'Cart Page', 'Homepage']",2022-09-21 18:08:51
SESS_0007,CUST_0133,"['Category Page', 'Product Detail Page', 'Cart Page']",2024-01-24 23:18:37
SESS_0008,CUST_0363,"['Checkout Page', 'Category Page', 'Cart Page', 'Order Confirmation Page', 'Product Detail Page', 'Homepage']",2023-03-19 11:08:47
SESS_0009,CUST_0184,"['Product Detail Page', 'Checkout Page', 'Cart Page']",2023-07-25 11:01:30
SESS_0010,CUST_0315,"['Homepage', 'Cart Page', 'Checkout Page', 'Category Page', 'Product Detail Page']",2024-02-16 09:10:22
SESS_0011,CUST_0508,"['Checkout Page', 'Product Detail Page', 'Homepage', 'Order Confirmation Page', 'Cart Page']",2023-07-15 03:29:35
SESS_0012,CUST_0381,"['Checkout Page', 'Cart Page', 'Category Page']",2024-03-09 06:28:43
SESS_0013,CUST_0380,"['Order Confirmation Page', 'Checkout Page', 'Homepage', 'Cart Page', 'Category Page']",2022-12-18 09:04:50
SESS_0014,CUST_0765,"['Product Detail Page', 'Homepage', 'Order Confirmation Page', 'Category Page', 'Checkout Page', 'Cart Page']",2023-08-07 05:33:46
SESS_0015,CUST_0621,"['Homepage', 'Cart Page', 'Product Detail Page', 'Order Confirmation Page']",2024-05-23 07:02:48
SESS_0016,CUST_0003,"['Checkout Page', 'Homepage', 'Category Page', 'Cart Page', 'Product Detail Page']",2024-07-17 02:54:03
SESS_0017,CUST_0504,"['Product Detail Page', 'Cart Page', 'Homepage', 'Category Page', 'Checkout Page', 'Order Confirmation Page']",2023-09-10 11:11:27
SESS_0018,CUST_0844,"['Order Confirmation Page', 'Product Detail Page', 'Cart Page', 'Checkout Page', 'Category Page']",2023-04-23 18:08:13
SESS_0019,CUST_0770,"['Checkout Page', 'Order Confirmation Page', 'Homepage', 'Product Detail Page']",2023-10-06 00:57:59
SESS_0020,CUST_0366,"['Category Page', 'Checkout Page', 'Product Detail Page', 'Homepage']",2023-08-16 07:51:43
SESS_0021,CUST_0604,"['Category Page', 'Checkout Page', 'Homepage', 'Cart Page', 'Order Confirmation Page']",2024-10-03 06:45:31
SESS_0022,CUST_0521,"['Product Detail Page', 'Order Confirmation Page', 'Homepage', 'Cart Page']",2022-10-23 09:39:05
SESS_0023,CUST_0719,"['Cart Page', 'Homepage', 'Checkout Page', 'Order Confirmation Page', 'Category Page', 'Product Detail Page']",2022-10-19 01:01:40
SESS_0024,CUST_0074,"['Cart Page', 'Product Detail Page', 'Checkout Page', 'Category Page']",2023-03-22 12:25:20
SESS_0025,CUST_0556,"['Category Page', 'Order Confirmation Page', 'Product Detail Page', 'Checkout Page']",2022-12-12 07:31:29
SESS_0026,CUST_0807,"['Category Page', 'Product Detail Page', 'Homepage', 'Checkout Page']",2024-02-17 14:47:05
SESS_0027,CUST_0874,"['Product Detail Page', 'Checkout Page', 'Cart Page']",2024-09-15 08:13:09
SESS_0028,CUST_0573,"['Order Confirmation Page', 'Cart Page', 'Product Detail Page', 'Category Page']",2024-04-26 09:22:47
SESS_0029,CUST_0280,"['Checkout Page', 'Cart Page', 'Order Confirmation Page']",2023-05-12 03:24:42
