Transaction ID,Promotion Type,Promotional Period
TXN_0001,No Promotion,
TXN_0002,Buy 1 Get 1 Free,2023-08-15 to 2023-09-15
TXN_0003,No Promotion,
TXN_0004,10% Off,2022-10-01 to 2022-10-31
TXN_0005,No Promotion,
TXN_0006,No Promotion,
TXN_0007,Buy 1 Get 1 Free,2023-08-15 to 2023-09-15
TXN_0008,No Promotion,
TXN_0009,No Promotion,
TXN_0010,No Promotion,
TXN_0011,No Promotion,
TXN_0012,No Promotion,
TXN_0013,Buy 1 Get 1 Free,2022-08-01 to 2022-08-31
TXN_0014,No Promotion,
TXN_0015,No Promotion,
TXN_0016,No Promotion,
TXN_0017,No Promotion,
TXN_0018,Buy 1 Get 1 Free,2022-08-01 to 2022-08-31
TXN_0019,No Promotion,
TXN_0020,No Promotion,
TXN_0021,Buy 1 Get 1 Free,2022-08-01 to 2022-08-31
TXN_0022,No Promotion,
TXN_0023,No Promotion,
TXN_0024,No Promotion,
TXN_0025,Free Shipping,2022-09-01 to 2022-09-30
TXN_0026,Free Shipping,2023-10-01 to 2023-10-15
TXN_0027,No Promotion,
TXN_0028,No Promotion,
TXN_0029,No Promotion,
TXN_0030,10% Off,2024-03-01 to 2024-03-31
TXN_0031,No Promotion,
TXN_0032,Buy 1 Get 1 Free,2023-11-25 to 2023-12-25
TXN_0033,10% Off,2024-03-01 to 2024-03-31
TXN_0034,No Promotion,
TXN_0035,No Promotion,
TXN_0036,Buy 1 Get 1 Free,2024-06-01 to 2024-06-15
TXN_0037,No Promotion,
TXN_0038,No Promotion,
TXN_0039,No Promotion,
TXN_0040,No Promotion,
TXN_0041,Buy 1 Get 1 Free,2023-08-15 to 2023-09-15
TXN_0042,Free Shipping,2023-10-01 to 2023-10-15
TXN_0043,No Promotion,
TXN_0044,No Promotion,
TXN_0045,No Promotion,
TXN_0046,10% Off,2024-09-01 to 2024-09-15
TXN_0047,Buy 1 Get 1 Free,2023-08-15 to 2023-09-15
TXN_0048,No Promotion,
TXN_0049,No Promotion,
TXN_0050,No Promotion,
TXN_0051,Buy 1 Get 1 Free,2023-08-15 to 2023-09-15
TXN_0052,No Promotion,
TXN_0053,No Promotion,
TXN_0054,No Promotion,
TXN_0055,No Promotion,
TXN_0056,10% Off,2022-10-01 to 2022-10-31
TXN_0057,No Promotion,
TXN_0058,Buy 1 Get 1 Free,2023-11-25 to 2023-12-25
TXN_0059,No Promotion,
TXN_0060,Buy 1 Get 1 Free,2023-11-25 to 2023-12-25
TXN_0061,No Promotion,
TXN_0062,10% Off,2022-10-01 to 2022-10-31
TXN_0063,Buy 1 Get 1 Free,2024-06-01 to 2024-06-15
TXN_0064,No Promotion,
TXN_0065,Free Shipping,2022-09-01 to 2022-09-30
TXN_0066,No Promotion,
TXN_0067,No Promotion,
TXN_0068,No Promotion,
TXN_0069,Buy 1 Get 1 Free,2023-11-25 to 2023-12-25
TXN_0070,No Promotion,
TXN_0071,Buy 1 Get 1 Free,2023-08-15 to 2023-09-15
TXN_0072,10% Off,2023-02-01 to 2023-02-15
TXN_0073,No Promotion,
TXN_0074,Buy 1 Get 1 Free,2022-08-01 to 2022-08-31
TXN_0075,Buy 1 Get 1 Free,2023-08-15 to 2023-09-15
TXN_0076,No Promotion,
TXN_0077,No Promotion,
TXN_0078,No Promotion,
TXN_0079,No Promotion,
TXN_0080,10% Off,2023-02-01 to 2023-02-15
TXN_0081,Buy 1 Get 1 Free,2023-08-15 to 2023-09-15
TXN_0082,No Promotion,
TXN_0083,No Promotion,
TXN_0084,Buy 1 Get 1 Free,2022-12-01 to 2022-12-31
TXN_0085,10% Off,2023-02-01 to 2023-02-15
TXN_0086,No Promotion,
TXN_0087,No Promotion,
TXN_0088,Buy 1 Get 1 Free,2023-08-15 to 2023-09-15
TXN_0089,No Promotion,
TXN_0090,No Promotion,
TXN_0091,No Promotion,
TXN_0092,No Promotion,
TXN_0093,10% Off,2023-02-01 to 2023-02-15
TXN_0094,No Promotion,
TXN_0095,No Promotion,
TXN_0096,No Promotion,
TXN_0097,Buy 1 Get 1 Free,2023-08-15 to 2023-09-15
TXN_0098,No Promotion,
TXN_0099,10% Off,2024-03-01 to 2024-03-31
TXN_0100,No Promotion,
TXN_0101,10% Off,2024-03-01 to 2024-03-31
TXN_0102,10% Off,2024-03-01 to 2024-03-31
TXN_0103,No Promotion,
TXN_0104,No Promotion,
TXN_0105,No Promotion,
TXN_0106,No Promotion,
TXN_0107,Buy 1 Get 1 Free,2023-08-15 to 2023-09-15
TXN_0108,No Promotion,
TXN_0109,Free Shipping,2023-09-15 to 2023-09-30
TXN_0110,Buy 1 Get 1 Free,2022-08-01 to 2022-08-31
TXN_0111,Buy 1 Get 1 Free,2022-12-01 to 2022-12-31
TXN_0112,Free Shipping,2023-09-15 to 2023-09-30
TXN_0113,10% Off,2024-03-01 to 2024-03-31
TXN_0114,No Promotion,
TXN_0115,No Promotion,
TXN_0116,No Promotion,
TXN_0117,No Promotion,
TXN_0118,Free Shipping,2022-09-01 to 2022-09-30
TXN_0119,No Promotion,
TXN_0120,No Promotion,
TXN_0121,No Promotion,
TXN_0122,Buy 1 Get 1 Free,2022-12-01 to 2022-12-31
TXN_0123,Free Shipping,2022-09-01 to 2022-09-30
TXN_0124,Buy 1 Get 1 Free,2022-08-01 to 2022-08-31
TXN_0125,No Promotion,
TXN_0126,10% Off,2024-03-01 to 2024-03-31
TXN_0127,No Promotion,
TXN_0128,10% Off,2023-02-01 to 2023-02-15
TXN_0129,No Promotion,
TXN_0130,No Promotion,
TXN_0131,No Promotion,
TXN_0132,No Promotion,
TXN_0133,No Promotion,
TXN_0134,10% Off,2022-10-01 to 2022-10-31
TXN_0135,No Promotion,
TXN_0136,No Promotion,
TXN_0137,No Promotion,
TXN_0138,No Promotion,
TXN_0139,No Promotion,
TXN_0140,10% Off,2023-07-01 to 2023-07-15
TXN_0141,No Promotion,
TXN_0142,No Promotion,
TXN_0143,No Promotion,
TXN_0144,No Promotion,
TXN_0145,No Promotion,
TXN_0146,Free Shipping,2022-09-01 to 2022-09-30
TXN_0147,No Promotion,
TXN_0148,No Promotion,
TXN_0149,No Promotion,
TXN_0150,No Promotion,
TXN_0151,No Promotion,
TXN_0152,No Promotion,
TXN_0153,No Promotion,
TXN_0154,No Promotion,
TXN_0155,Buy 1 Get 1 Free,2023-08-15 to 2023-09-15
TXN_0156,No Promotion,
TXN_0157,No Promotion,
TXN_0158,No Promotion,
TXN_0159,No Promotion,
TXN_0160,No Promotion,
TXN_0161,No Promotion,
TXN_0162,10% Off,2022-10-01 to 2022-10-31
TXN_0163,10% Off,2024-09-01 to 2024-09-15
TXN_0164,10% Off,2022-10-01 to 2022-10-31
TXN_0165,No Promotion,
TXN_0166,No Promotion,
TXN_0167,10% Off,2024-09-01 to 2024-09-15
TXN_0168,No Promotion,
TXN_0169,No Promotion,
TXN_0170,No Promotion,
TXN_0171,No Promotion,
TXN_0172,No Promotion,
TXN_0173,Buy 1 Get 1 Free,2024-06-01 to 2024-06-15
TXN_0174,Buy 1 Get 1 Free,2023-11-25 to 2023-12-25
TXN_0175,No Promotion,
TXN_0176,10% Off,2024-03-01 to 2024-03-31
TXN_0177,Buy 1 Get 1 Free,2024-06-01 to 2024-06-15
TXN_0178,Buy 1 Get 1 Free,2022-08-01 to 2022-08-31
TXN_0179,Buy 1 Get 1 Free,2023-11-25 to 2023-12-25
TXN_0180,No Promotion,
TXN_0181,No Promotion,
TXN_0182,No Promotion,
TXN_0183,No Promotion,
TXN_0184,No Promotion,
TXN_0185,No Promotion,
TXN_0186,No Promotion,
TXN_0187,No Promotion,
TXN_0188,No Promotion,
TXN_0189,No Promotion,
TXN_0190,No Promotion,
TXN_0191,No Promotion,
TXN_0192,No Promotion,
TXN_0193,10% Off,2024-09-01 to 2024-09-15
TXN_0194,No Promotion,
TXN_0195,Free Shipping,2022-09-01 to 2022-09-30
TXN_0196,Free Shipping,2022-09-01 to 2022-09-30
TXN_0197,10% Off,2023-07-01 to 2023-07-15
TXN_0198,No Promotion,
TXN_0199,No Promotion,
TXN_0200,No Promotion,
TXN_0201,No Promotion,
TXN_0202,Free Shipping,2022-09-01 to 2022-09-30
TXN_0203,No Promotion,
TXN_0204,No Promotion,
TXN_0205,No Promotion,
TXN_0206,Buy 1 Get 1 Free,2023-08-15 to 2023-09-15
TXN_0207,No Promotion,
TXN_0208,10% Off,2022-10-01 to 2022-10-31
TXN_0209,No Promotion,
TXN_0210,Buy 1 Get 1 Free,2023-11-25 to 2023-12-25
TXN_0211,10% Off,2023-07-01 to 2023-07-15
TXN_0212,10% Off,2022-10-01 to 2022-10-31
TXN_0213,No Promotion,
TXN_0214,No Promotion,
TXN_0215,No Promotion,
TXN_0216,10% Off,2024-03-01 to 2024-03-31
TXN_0217,No Promotion,
TXN_0218,No Promotion,
TXN_0219,No Promotion,
TXN_0220,No Promotion,
TXN_0221,No Promotion,
TXN_0222,Buy 1 Get 1 Free,2023-11-25 to 2023-12-25
TXN_0223,Buy 1 Get 1 Free,2022-12-01 to 2022-12-31
TXN_0224,Buy 1 Get 1 Free,2023-08-15 to 2023-09-15
TXN_0225,No Promotion,
TXN_0226,Buy 1 Get 1 Free,2022-08-01 to 2022-08-31
TXN_0227,No Promotion,
TXN_0228,Free Shipping,2024-07-01 to 2024-07-15
TXN_0229,10% Off,2023-07-01 to 2023-07-15
TXN_0230,Buy 1 Get 1 Free,2023-08-15 to 2023-09-15
TXN_0231,Free Shipping,2022-09-01 to 2022-09-30
TXN_0232,Buy 1 Get 1 Free,2023-11-25 to 2023-12-25
TXN_0233,No Promotion,
TXN_0234,Buy 1 Get 1 Free,2022-12-01 to 2022-12-31
TXN_0235,No Promotion,
TXN_0236,10% Off,2023-07-01 to 2023-07-15
TXN_0237,No Promotion,
TXN_0238,10% Off,2024-03-01 to 2024-03-31
TXN_0239,10% Off,2022-10-01 to 2022-10-31
TXN_0240,No Promotion,
TXN_0241,No Promotion,
TXN_0242,No Promotion,
TXN_0243,No Promotion,
TXN_0244,No Promotion,
TXN_0245,No Promotion,
TXN_0246,10% Off,2023-02-01 to 2023-02-15
TXN_0247,No Promotion,
TXN_0248,Free Shipping,2024-07-01 to 2024-07-15
TXN_0249,No Promotion,
TXN_0250,No Promotion,
TXN_0251,No Promotion,
TXN_0252,Buy 1 Get 1 Free,2023-11-25 to 2023-12-25
TXN_0253,No Promotion,
TXN_0254,10% Off,2024-03-01 to 2024-03-31
TXN_0255,10% Off,2023-07-01 to 2023-07-15
TXN_0256,No Promotion,
TXN_0257,Buy 1 Get 1 Free,2022-12-01 to 2022-12-31
TXN_0258,Buy 1 Get 1 Free,2024-06-01 to 2024-06-15
TXN_0259,No Promotion,
TXN_0260,No Promotion,
TXN_0261,10% Off,2023-07-01 to 2023-07-15
TXN_0262,Buy 1 Get 1 Free,2023-11-25 to 2023-12-25
TXN_0263,No Promotion,
TXN_0264,10% Off,2024-03-01 to 2024-03-31
TXN_0265,No Promotion,
TXN_0266,No Promotion,
TXN_0267,No Promotion,
TXN_0268,Free Shipping,2022-09-01 to 2022-09-30
TXN_0269,Buy 1 Get 1 Free,2022-12-01 to 2022-12-31
TXN_0270,No Promotion,
TXN_0271,10% Off,2024-03-01 to 2024-03-31
TXN_0272,No Promotion,
TXN_0273,No Promotion,
TXN_0274,10% Off,2023-02-01 to 2023-02-15
TXN_0275,No Promotion,
TXN_0276,No Promotion,
TXN_0277,Buy 1 Get 1 Free,2024-06-01 to 2024-06-15
TXN_0278,No Promotion,
TXN_0279,No Promotion,
TXN_0280,No Promotion,
TXN_0281,No Promotion,
TXN_0282,No Promotion,
TXN_0283,No Promotion,
TXN_0284,No Promotion,
TXN_0285,Buy 1 Get 1 Free,2022-08-01 to 2022-08-31
TXN_0286,No Promotion,
TXN_0287,No Promotion,
TXN_0288,Free Shipping,2024-07-01 to 2024-07-15
TXN_0289,Buy 1 Get 1 Free,2024-06-01 to 2024-06-15
TXN_0290,No Promotion,
TXN_0291,Buy 1 Get 1 Free,2024-06-01 to 2024-06-15
TXN_0292,No Promotion,
TXN_0293,No Promotion,
TXN_0294,10% Off,2024-03-01 to 2024-03-31
TXN_0295,No Promotion,
TXN_0296,10% Off,2024-03-01 to 2024-03-31
TXN_0297,Buy 1 Get 1 Free,2023-08-15 to 2023-09-15
TXN_0298,No Promotion,
TXN_0299,No Promotion,
TXN_0300,No Promotion,
TXN_0301,Buy 1 Get 1 Free,2022-12-01 to 2022-12-31
TXN_0302,10% Off,2023-02-01 to 2023-02-15
TXN_0303,No Promotion,
TXN_0304,No Promotion,
TXN_0305,No Promotion,
TXN_0306,10% Off,2024-03-01 to 2024-03-31
TXN_0307,No Promotion,
TXN_0308,No Promotion,
TXN_0309,Buy 1 Get 1 Free,2023-11-25 to 2023-12-25
TXN_0310,Free Shipping,2023-10-01 to 2023-10-15
TXN_0311,10% Off,2022-10-01 to 2022-10-31
TXN_0312,No Promotion,
TXN_0313,Free Shipping,2024-07-01 to 2024-07-15
TXN_0314,No Promotion,
TXN_0315,No Promotion,
TXN_0316,Buy 1 Get 1 Free,2023-11-25 to 2023-12-25
TXN_0317,No Promotion,
TXN_0318,No Promotion,
TXN_0319,No Promotion,
TXN_0320,Buy 1 Get 1 Free,2022-08-01 to 2022-08-31
TXN_0321,No Promotion,
TXN_0322,No Promotion,
TXN_0323,No Promotion,
TXN_0324,No Promotion,
TXN_0325,Buy 1 Get 1 Free,2022-08-01 to 2022-08-31
TXN_0326,Buy 1 Get 1 Free,2024-06-01 to 2024-06-15
TXN_0327,10% Off,2024-03-01 to 2024-03-31
TXN_0328,No Promotion,
TXN_0329,No Promotion,
TXN_0330,10% Off,2024-09-01 to 2024-09-15
TXN_0331,No Promotion,
TXN_0332,Buy 1 Get 1 Free,2022-12-01 to 2022-12-31
TXN_0333,10% Off,2022-10-01 to 2022-10-31
TXN_0334,No Promotion,
TXN_0335,10% Off,2024-03-01 to 2024-03-31
TXN_0336,10% Off,2023-02-01 to 2023-02-15
TXN_0337,No Promotion,
TXN_0338,No Promotion,
TXN_0339,10% Off,2024-09-01 to 2024-09-15
TXN_0340,No Promotion,
TXN_0341,No Promotion,
TXN_0342,Buy 1 Get 1 Free,2022-12-01 to 2022-12-31
TXN_0343,Buy 1 Get 1 Free,2023-08-15 to 2023-09-15
TXN_0344,Buy 1 Get 1 Free,2022-08-01 to 2022-08-31
TXN_0345,No Promotion,
TXN_0346,10% Off,2024-03-01 to 2024-03-31
TXN_0347,Buy 1 Get 1 Free,2022-12-01 to 2022-12-31
TXN_0348,No Promotion,
TXN_0349,No Promotion,
TXN_0350,No Promotion,
TXN_0351,No Promotion,
TXN_0352,No Promotion,
TXN_0353,Buy 1 Get 1 Free,2023-11-25 to 2023-12-25
TXN_0354,10% Off,2022-10-01 to 2022-10-31
TXN_0355,No Promotion,
TXN_0356,No Promotion,
TXN_0357,No Promotion,
TXN_0358,No Promotion,
TXN_0359,No Promotion,
TXN_0360,10% Off,2023-02-01 to 2023-02-15
TXN_0361,Buy 1 Get 1 Free,2023-11-25 to 2023-12-25
TXN_0362,No Promotion,
TXN_0363,No Promotion,
TXN_0364,Buy 1 Get 1 Free,2022-08-01 to 2022-08-31
TXN_0365,No Promotion,
TXN_0366,Free Shipping,2022-09-01 to 2022-09-30
TXN_0367,10% Off,2023-02-01 to 2023-02-15
TXN_0368,No Promotion,
TXN_0369,10% Off,2023-07-01 to 2023-07-15
TXN_0370,No Promotion,
TXN_0371,Buy 1 Get 1 Free,2022-08-01 to 2022-08-31
TXN_0372,No Promotion,
TXN_0373,No Promotion,
TXN_0374,No Promotion,
TXN_0375,No Promotion,
TXN_0376,No Promotion,
TXN_0377,Buy 1 Get 1 Free,2023-08-15 to 2023-09-15
TXN_0378,No Promotion,
TXN_0379,10% Off,2024-03-01 to 2024-03-31
TXN_0380,Buy 1 Get 1 Free,2023-11-25 to 2023-12-25
TXN_0381,Buy 1 Get 1 Free,2023-11-25 to 2023-12-25
TXN_0382,No Promotion,
TXN_0383,10% Off,2022-10-01 to 2022-10-31
TXN_0384,Free Shipping,2023-10-01 to 2023-10-15
TXN_0385,No Promotion,
TXN_0386,No Promotion,
TXN_0387,No Promotion,
TXN_0388,No Promotion,
