Transaction ID,Product ID,Units Sold,Price per Unit
TXN_0001,PROD_0033,3,15.0
TXN_0001,PROD_0021,2,22.04
TXN_0001,PROD_0019,3,32.45
TXN_0001,PROD_0031,3,29.79
TXN_0001,PROD_0003,2,38.05
TXN_0002,PROD_0004,2,75.0
TXN_0002,PROD_0026,1,35.0
TXN_0002,PROD_0026,2,35.26
TXN_0002,PROD_0046,3,30.81
TXN_0002,PROD_0004,1,83.07
TXN_0003,PROD_0008,1,35.0
TXN_0003,PROD_0019,1,30.0
TXN_0003,PROD_0035,1,14.64
TXN_0003,PROD_0029,2,6.0
TXN_0003,PROD_0010,2,11.36
TXN_0004,PROD_0023,3,36.59
TXN_0004,PROD_0027,2,159.14
TXN_0005,PROD_0016,1,51.59
TXN_0005,PROD_0040,3,11.15
TXN_0005,PROD_0018,3,34.99
TXN_0005,PROD_0027,3,163.31
TXN_0006,PROD_0023,2,35.0
TXN_0006,PROD_0049,2,12.88
TXN_0006,PROD_0039,1,31.9
TXN_0006,PROD_0028,1,22.45
TXN_0007,PROD_0015,2,45.0
TXN_0007,PROD_0038,2,68.34
TXN_0008,PROD_0004,2,75.0
TXN_0008,PROD_0046,3,32.69
TXN_0008,PROD_0034,1,25.0
TXN_0009,PROD_0030,2,129.25
TXN_0009,PROD_0035,2,12.24
TXN_0009,PROD_0012,3,26.69
TXN_0010,PROD_0016,2,51.9
TXN_0010,PROD_0028,2,22.45
TXN_0010,PROD_0004,1,74.91
TXN_0010,PROD_0022,2,60.07
TXN_0010,PROD_0039,2,30.0
TXN_0011,PROD_0022,3,60.07
TXN_0011,PROD_0023,1,36.59
TXN_0012,PROD_0035,2,14.11
TXN_0013,PROD_0023,2,36.59
TXN_0013,PROD_0021,2,22.04
TXN_0013,PROD_0041,2,41.38
TXN_0014,PROD_0029,1,6.0
TXN_0014,PROD_0013,3,16.22
TXN_0014,PROD_0013,2,18.0
TXN_0014,PROD_0031,1,29.79
TXN_0015,PROD_0020,2,25.09
TXN_0015,PROD_0005,2,15.5
TXN_0015,PROD_0021,3,22.04
TXN_0015,PROD_0043,1,15.0
TXN_0016,PROD_0025,1,28.79
TXN_0016,PROD_0005,1,14.52
TXN_0016,PROD_0037,3,39.29
TXN_0017,PROD_0036,3,45.0
TXN_0017,PROD_0013,1,16.22
TXN_0018,PROD_0033,1,14.72
TXN_0018,PROD_0038,1,53.75
TXN_0018,PROD_0032,2,37.86
TXN_0018,PROD_0005,1,15.0
TXN_0018,PROD_0034,1,22.57
TXN_0019,PROD_0029,2,6.0
TXN_0019,PROD_0032,3,35.0
TXN_0019,PROD_0026,2,35.26
TXN_0020,PROD_0003,3,38.78
TXN_0020,PROD_0011,1,61.15
TXN_0020,PROD_0039,3,30.0
TXN_0020,PROD_0014,3,30.0
TXN_0021,PROD_0003,1,43.68
TXN_0021,PROD_0017,2,6.82
TXN_0022,PROD_0041,3,45.0
TXN_0022,PROD_0033,2,16.41
TXN_0022,PROD_0020,3,25.09
TXN_0022,PROD_0037,3,40.21
TXN_0022,PROD_0048,3,20.4
TXN_0023,PROD_0026,3,34.43
TXN_0023,PROD_0012,2,27.54
TXN_0023,PROD_0019,1,30.0
